SK_ID_CURR,TARGET
100001,0.05719223855298275
100005,0.21706410252088337
100013,0.0411250267785946
100028,0.037485186461417304
100038,0.12431071466514286
100042,0.02271566886261027
100057,0.020295216730114217
100065,0.09885671663559858
100066,0.01685091634996622
100067,0.11216649557196044
100074,0.06796972420456067
100090,0.08304572225146052
100091,0.17815313500265736
100092,0.10356752419631853
100106,0.08852454518404546
100107,0.12800853987133898
100109,0.07007429317659206
100117,0.033152944572467404
100128,0.06706008435112126
100141,0.04739799618056383
100150,0.024285617313587436
100168,0.007352343160813557
100169,0.0416467433561797
100170,0.07683067228204234
100171,0.044558769842637125
100172,0.12921458331554356
100184,0.09746448463235365
100187,0.07027194101351307
100212,0.049443190219899145
100222,0.08527425757350769
100223,0.015108211470475155
100232,0.02231013228592952
100241,0.14613356969643618
100245,0.01861325564346648
100253,0.018332136241324425
100256,0.11135290648603276
100271,0.015247348684173323
100278,0.2394438406687639
100280,0.017612760550509168
100306,0.17171364301747985
100311,0.15180936191193256
100312,0.022030720305554044
100330,0.08508488619245456
100331,0.05224767448289268
100352,0.10015297748027867
100358,0.15413257646827574
100367,0.04217715223892812
100382,0.14903694925176478
100384,0.06676648911450217
100385,0.09865622707200113
100386,0.05826643144393088
100399,0.03934274713241156
100404,0.1147573608550494
100416,0.023345539993363796
100422,0.12292157600716759
100426,0.036632920389438065
100438,0.04571638340945367
100444,0.13242606168086204
100445,0.12621447686432882
100446,0.08865514852735243
100447,0.03260849564055079
100450,0.05858084674292449
100466,0.031832182335281616
100483,0.028160441806630385
100484,0.021917331441999297
100494,0.06620924950537148
100510,0.17493372730500736
100512,0.03217674780326299
100517,0.0377637944352781
100548,0.05665534043882078
100551,0.05156012524130908
100552,0.1289114208381069
100553,0.026348771499140777
100561,0.15580546495053996
100568,0.4286612943367276
100569,0.03925663487145809
100591,0.0572251339244345
100592,0.019221482457329846
100602,0.06082603057223661
100607,0.05841706748830747
100613,0.07609083201682128
100617,0.11022552075917698
100618,0.09117933506811979
100622,0.1509781099921269
100625,0.08564759918358181
100677,0.1260942358460369
100699,0.05029582484855283
100702,0.47829131835393696
100711,0.0858963009601668
100729,0.19811056229053448
100740,0.11833732215201317
100744,0.14457976159828922
100745,0.04900962977913499
100747,0.16451127757308484
100751,0.2698938062719049
100752,0.04619118492527461
100753,0.34290269555815217
100754,0.2273846360105653
100760,0.05828416459473908
100762,0.08464121706012959
100763,0.04482318834007682
100765,0.027464395423956088
100770,0.11475107148621759
100772,0.03301416368183697
100777,0.03861801611810002
100791,0.023729020502996332
100792,0.012243276266444784
100797,0.021803303356963167
100823,0.033059728119184284
100826,0.05147931479918331
100830,0.03371339785164988
100836,0.34416420837530265
100872,0.06342465773264741
100910,0.08252996390130635
100913,0.12532227218881123
100918,0.05385049901483353
100931,0.01760775882341267
